product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  (4th Gen) White,Apple iPod Touch,,,,"2,588.00",,Apple Asia Ltd,,107-APPIPT-MD059ZP/A,MD059ZP/A,,Apple iPod touch 64GB  (4th Gen) White,,,,,,,White,64GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Yellow,Apple iPod Touch,,,,"2,288.00",,Apple Asia Ltd,,107-APPIPT-MD714ZP/A,MD714ZP/A,,Apple iPod touch 32GB  - Yellow,,,,,,,Yellow,32GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Yellow,Apple iPod Touch,,,,"3,088.00",,Apple Asia Ltd,,107-APPIPT-MD715ZP/A,MD715ZP/A,,Apple iPod touch 64GB  - Yellow,,,,,,,Yellow,64GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Blue,Apple iPod Touch,,,,"2,288.00",,Apple Asia Ltd,,107-APPIPT-MD717ZP/A,MD717ZP/A,,Apple iPod touch 32GB  - Blue,,,,,,,Blue,32GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Blue,Apple iPod Touch,,,,"3,088.00",,Apple Asia Ltd,,107-APPIPT-MD718ZP/A,MD718ZP/A,,Apple iPod touch 64GB  - Blue,,,,,,,Blue,64GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - White & Silver,Apple iPod Touch,,,,"2,288.00",,Apple Asia Ltd,,107-APPIPT-MD720ZP/A,MD720ZP/A,,Apple iPod touch 32GB  - White & Silver,,,,,,,White & Silver,32GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - WHITE & SILVER,Apple iPod Touch,,,,"3,088.00",,Apple Asia Ltd,,107-APPIPT-MD721ZP/A,MD721ZP/A,,Apple iPod touch 64GB  - WHITE & SILVER,,,,,,,White & Silver,64GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Black & Slate,Apple iPod Touch,,,,"2,288.00",,Apple Asia Ltd,,107-APPIPT-MD723ZP/A,MD723ZP/A,,Apple iPod touch 32GB  - Black & Slate,,,,,,,Black & Slate,32GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - BLACK & SLATE,Apple iPod Touch,,,,"3,088.00",,Apple Asia Ltd,,107-APPIPT-MD724ZP/A,MD724ZP/A,,Apple iPod touch 64GB  - BLACK & SLATE,,,,,,,Black & Slate,64GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 16GB  Black(4th Gen),Apple iPod Touch,,,,"1,388.00",,Apple Asia Ltd,,107-APPIPT-ME178ZP/A,ME178ZP/A,,Apple iPod touch 16GB  Black(4th Gen),,,,,,,Black,16GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 16GB  White(4th Gen),Apple iPod Touch,,,,"1,388.00",,Apple Asia Ltd,,107-APPIPT-ME179ZP/A,ME179ZP/A,,Apple iPod touch 16GB  White(4th Gen),,,,,,,White,16GB,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 16GB - Black & Silver,Apple iPod Touch,,,,"1,788.00",,Apple Asia Ltd,,107-APPIPT-ME643ZP/A,ME643ZP/A,,Apple iPod touch 16GB - Black & Silver,,,,,,,Black & Silver,16GB,,,,
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi BLK 32GB,Apple iPad Retina Display,,,,"4,188.00",,Apple Asia Ltd,,102-APPIPR-MD511ZP/A,MD511ZP/A,,Apple iPad with Retina display WiFi BLK 32GB,,,,,,,Black,32GB,,,,
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi BLK 64GB,Apple iPad Retina Display,,,,"4,988.00",,Apple Asia Ltd,,102-APPIPR-MD512ZP/A,MD512ZP/A,,Apple iPad with Retina display WiFi BLK 64GB,,,,,,,Black,64GB,,,,
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 16GB,Apple iPad Retina Display,,,,"3,388.00",,Apple Asia Ltd,,102-APPIPR-MD513ZP/A,MD513ZP/A,,Apple iPad with Retina display WiFi White 16GB,,,,,,,White,16GB,,,,
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 32GB,Apple iPad Retina Display,,,,"4,188.00",,Apple Asia Ltd,,102-APPIPR-MD514ZP/A,MD514ZP/A,,Apple iPad with Retina display WiFi White 32GB,,,,,,,White,32GB,,,,
Tablets,Apple,iPad Retina Display,Apple iPad with Retina display WiFi White 64GB,Apple iPad Retina Display,,,,"4,988.00",,Apple Asia Ltd,,102-APPIPR-MD515ZP/A,MD515ZP/A,,Apple iPad with Retina display WiFi White 64GB,,,,,,,White,64GB,,,,
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 16GB BLACK-ZPN,Apple iPad Retina Display,,,,"4,388.00",,Apple Asia Ltd,,102-APPIPR-MD522ZP/A,MD522ZP/A,,Apple IPAD WI-FI CELLULAR 16GB BLACK-ZPN,,,,,,,BLACK,16GB,,,,
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 32GB BLACK-ZPN,Apple iPad Retina Display,,,,"5,188.00",,Apple Asia Ltd,,102-APPIPR-MD523ZP/A,MD523ZP/A,,Apple IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,,,,,,BLACK,32GB,,,,
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 64GB BLACK-ZPN,Apple iPad Retina Display,,,,"5,988.00",,Apple Asia Ltd,,102-APPIPR-MD524ZP/A,MD524ZP/A,,Apple IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,,,,,,BLACK,64GB,,,,
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 16GB WHITE-ZPN,Apple iPad Retina Display,,,,"4,388.00",,Apple Asia Ltd,,102-APPIPR-MD525ZP/A,MD525ZP/A,,Apple IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,,,,,,WHITE,16GB,,,,
Tablets,Apple,iPad Retina Display,Apple IPAD WI-FI CELLULAR 32GB WHITE-ZPN,Apple iPad Retina Display,,,,"5,188.00",,Apple Asia Ltd,,102-APPIPR-MD526ZP/A,MD526ZP/A,,Apple IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,,,,,,WHITE,32GB,,,,
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 16GB - Black & Slate,Apple iPad Mini,,,,"2,288.00",,Apple Asia Ltd,,102-APPIPM-MD528ZP/A,MD528ZP/A,,Apple iPad mini with WiFi 16GB - Black & Slate,,,,,,,Black & Slate,16GB,,,,
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 32GB - Black & Slate,Apple iPad Mini,,,,"3,088.00",,Apple Asia Ltd,,102-APPIPM-MD529ZP/A,MD529ZP/A,,Apple iPad mini with WiFi 32GB - Black & Slate,,,,,,,Black & Slate,32GB,,,,
