Item   Code,Item Name,Item BarCode,Unit,Item Type,Qty On Hand,Qty On Ord,Price Sales,Serial No Ctrl,Anly Code1,Anly Code2,Anly Code3,Anly Code4,Anly Code5,Anly Code6,Anly Code7,Anly Code8,,Anly Code9
3018-NIPHCVG04,VanGogh Museum iPhone 5 Case Sun Flower,6939448304293,PCS,S,6,0,248,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPHCVG04,,,
3018-NIPHCVG03,VanGogh Museum iPhone5 Case Starry Night,6939448304286,PCS,S,8,0,248,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPHCVG03,,,
3018-NIPHCVG02,VanGogh Museum iPhone 5 Case Butteryfly,6939448304194,PCS,S,4,0,248,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPHCVG02,,,
3018-NIPHCVG01,VanGogh Museum iPhone 5 Case Sky,6939448304163,PCS,S,9,0,248,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPHCVG01,,,
3018-NIPFVG04,VanGogh Folio iPhone 5 Case Cafe Terrace,6939448304279,PCS,S,6,0,268,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPFVG04,,,
3018-NIPFVG03,VanGogh Folio iPhone 5 Case Starry Night,6939448304200,PCS,S,7,0,268,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPFVG03,,,
3018-NIPFVG02,VanGogh Folio iPhone 5 Case Sun Flower,6939448304125,PCS,S,0,0,268,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPFVG02,,,
3018-NIPFVG01,VanGogh Folio iPhone 5 Case Landscape,6939448304118,PCS,S,0,0,268,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Van Gogh,NIPFVG01,,,
3018-MS35100,iPod nano G4 Aqua Plus - Clear_____(__),4MS35-100,PCS,S,6,,132,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MS32100,iPod nano G4 Sillicone Pack_______(5_)(P,4897015611880,PCS,S,3,,116,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MS31100,iPod nano G4 Sillicone Opaque pack______,4897015611873,PCS,S,0,,116,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,,,
