product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel,Power Capacity
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - BLUE- ITP,Apple iPod nano 16GB,,1037.4,1069.2,1188,1,Apple Asia Ltd,,107-APPIPN-MD477ZP/A,MD477ZP/A,,Apple iPod nano 16GB - BLUE- ITP,,http://www.dropshipgs.com/images/detailed/9/ipod_nano-500x500.jpg,,,,,BLUE,16GB,,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - GREEN- ITP,Apple iPod nano 16GB,,1037.4,1069.2,1188,1,Apple Asia Ltd,,107-APPIPN-MD478ZP/A,MD478ZP/A,,Apple iPod nano 16GB - GREEN- ITP,,http://www.dropshipgs.com/images/detailed/9/ipod_nano-500x500.jpg,,,,,GREEN,16GB,,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - PURPLE- ITP,Apple iPod nano 16GB,,1037.4,1069.2,1188,1,Apple Asia Ltd,,107-APPIPN-MD479ZP/A,MD479ZP/A,,Apple iPod nano 16GB - PURPLE- ITP,,http://www.dropshipgs.com/images/detailed/9/ipod_nano-500x500.jpg,,,,,PURPLE,16GB,,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - SILVER - ITP,Apple iPod nano 16GB,,1037.4,1069.2,1188,1,Apple Asia Ltd,,107-APPIPN-MD480ZP/A,MD480ZP/A,,Apple iPod nano 16GB - SILVER - ITP,,http://www.dropshipgs.com/images/detailed/9/ipod_nano-500x500.jpg,,,,,SILVER,16GB,,,,,
Media Player,Apple,iPod Nano,Apple iPod nano 16GB - SLATE - ITP,Apple iPod nano 16GB,,1037.4,1069.2,1188,1,Apple Asia Ltd,,107-APPIPN-MD481ZP/A,MD481ZP/A,,Apple iPod nano 16GB - SLATE - ITP,,http://www.dropshipgs.com/images/detailed/9/ipod_nano-500x500.jpg,,,,,SLATE,16GB,,,,,
Media Player,Apple,iPod Classic,Apple IPOD CLASSIC 160GB SILVER,Apple iPod classic 160GB,,1653.6,1699.2,1888,,Apple Asia Ltd,,107-APPIPC-MC293ZP/A,MC293ZP/A,,Apple IPOD CLASSIC 160GB SILVER,,,,,,,SILVER,160GB,,,,,
Media Player,Apple,iPod Classic,Apple IPOD CLASSIC 160GB BLACK,Apple iPod classic 160GB,,1638,1699.2,1888,,Apple Asia Ltd,,107-APPIPC-MC297ZP/A,MC297ZP/A,,Apple IPOD CLASSIC 160GB BLACK,,,,,,,BLACK,160GB,,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  (4th Gen),Apple iPod touch 32GB (4th Gen),,1474.64,1519.2,1688,,Apple Asia Ltd,,107-APPIPT-MC544ZP/A,MC544ZP/A,,Apple iPod touch 32GB  (4th Gen),,,,,,,BLACK,32GB,,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 32GB  - Pink,Apple iPod touch 32GB (5th Gen),,2004.6,2059.2,2288,1,Apple Asia Ltd,,107-APPIPT-MC903ZP/A,MC903ZP/A,,Apple iPod touch 32GB  - Pink,,http://www.dropshipgs.com/images/detailed/6/iPod_Touch_5-B.jpg,,,,,Pink,32GB,,,,,
Media Player,Apple,iPod Touch,Apple iPod touch 64GB  - Pink,Apple iPod touch 64GB (5th Gen),,2698.8,2779.2,3088,1,Apple Asia Ltd,,107-APPIPT-MC904ZP/A,MC904ZP/A,,Apple iPod touch 64GB  - Pink,,http://www.dropshipgs.com/images/detailed/6/iPod_Touch_5-B.jpg,,,,,Pink,64GB,,,,,
